refDes,temperature,salinity,conductivity,density,oxygen,sea_water_pressure,nitrate,chlorophyll,par,pco2,ph,spectral_irradiance_412nm,spectral_irradiance_443nm,spectral_irradiance_490nm,spectral_irradiance_510nm,spectral_irradiance_555nm,spectral_irradiance_620nm,spectral_irradiance_683nm,velocity_east,velocity_north,velocity_up,percent_good_beam,echo_intensity,correlation_magnitude,error_seawater_velocity,resistivity,cdom,backscatter,vent_temperature,seafloor_pressure,seawater_pressure_mbar,bottom_pressure_psi,mean_seafloor_depth,seafloor_uplift_10m,seafloor_uplift_5m,seafloor_uplift_predicted_tide,dark_counts,ratios
RS03AXBS-LJ03A-11-OPTAAC303,"{'local':[1.75,1.85]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[400,800]}","{'local':[0,100]}"
RS01SLBS-LJ01A-11-OPTAAC103,"{'local':[1.75,1.85]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[400,800]}","{'local':[0,100]}"
CE04OSBP-LJ01C-08-OPTAAC104,"{'local':[1.75,1.85]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[400,800]}","{'local':[0,100]}"
CE02SHBP-LJ01D-08-OPTAAD106,"{'local':[1.75,1.85]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[400,800]}","{'local':[0,100]}"
RS03AXPD-DP03A-01-CTDPFL304,"{'local_profile':[0,10]}","{'local_profile':[32.75,34.75]}","{'local':[3,4]}","{'local_profile':[1026,1040]}",,"{'local_profile':[150,2700]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-01-CTDPFL104,"{'local_profile':[0,10]}","{'local_profile':[32.75,34.75]}","{'local':[3,4]}","{'local_profile':[1026,1040]}",,"{'local_profile':[150,2700]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPD-DP01B-01-CTDPFL105,"{'local_profile':[0,10]}","{'local_profile':[32.75,34.75]}","{'local':[3,4]}","{'local_profile':[1026,1040]}",,"{'local_profile':[150,2700]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-06-DOSTAD304,,,,,"{'local_profile':[0,300]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-06-DOSTAD104,,,,,"{'local_profile':[0,300]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPD-DP01B-06-DOSTAD105,,,,,"{'local_profile':[0,300]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-03-FLCDRA302,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local_profile':[0,10]}",,,,,,,,,,,
RS03AXPD-DP03A-03-FLNTUA302,,,,,,,,"{'local_profile':[0,60]}",,,,,,,,,,,,,,,,,,,,"{'local_profile':[0,3]}",,,,,,,,,,
RS01SBPD-DP01A-03-FLCDRA102,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local_profile':[0,10]}",,,,,,,,,,,
RS01SBPD-DP01A-04-FLNTUA102,,,,,,,,"{'local_profile':[0,60]}",,,,,,,,,,,,,,,,,,,,"{'local':[0,3]}",,,,,,,,,,
CE04OSPD-DP01B-03-FLCDRA103,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local_profile':[0,10]}",,,,,,,,,,,
CE04OSPD-DP01B-04-FLNTUA103,,,,,,,,"{'local_profile':[0,60]}",,,,,,,,,,,,,,,,,,,,"{'local_profile':[0,3]}",,,,,,,,,,
RS03AXPD-DP03A-02-VEL3DA303,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,,,,,,,,,,,,,,,,
RS01SBPD-DP01A-02-VEL3DA103,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,,,,,,,,,,,,,,,,
CE04OSPD-DP01B-02-VEL3DA105,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,,,,,,,,,,,,,,,,
